-8.3998,-10.627,-283.47,-207.9,-251.37,13.786,-9.4859,-5.4393,-10.177,-8.4442,-7.3525,-13.12,-6.8419,-8.5881,-12.638,-10.983,-6.4469,-10.386,-9.8134,-11.502,-5.6261,-11.393,-11.299,-10.878,-6.5409,-7.7705,-6.6064,-8.6123,-2.1607,-6.4592,-8.7072,-9.9661
-8.5614,-10.461,-283.47,-207.72,-250.85,13.786,-10.788,-6.4592,-11.07,-9.8815,-7.5235,-8.6269,-5.9866,-8.5881,-13.737,-11.868,-6.7775,-11.407,-10.17,-12.199,-6.3293,-10.841,-11.658,-11.603,-6.5409,-7.2637,-6.6064,-8.6123,-1.9945,-6.1192,-8.5397,-9.9661
-9.8536,-9.9629,-283.82,-208.75,-251.19,13.786,-11.346,-7.649,-12.677,-10.78,-8.7205,-8.9863,-6.1577,-9.1248,-13.554,-11.337,-7.7693,-12.259,-10.884,-13.071,-7.0326,-11.209,-12.196,-12.147,-6.8852,-7.6015,-6.4453,-8.7811,-1.9945,-6.6291,-8.3723,-9.8
-9.5306,-12.62,-283.64,-208.07,-251.71,13.956,-12.276,-7.819,-13.391,-10.6,-8.8915,-9.7052,-6.6708,-10.019,-14.104,-9.9198,-6.7775,-12.259,-11.776,-12.722,-7.2084,-11.393,-12.375,-12.147,-6.5409,-7.0948,-5.3174,-8.2745,-1.4959,-5.7793,-8.3723,-9.8
-9.2075,-12.288,-284.33,-208.07,-251.02,13.956,-11.532,-8.4989,-13.213,-10.061,-9.5754,-11.143,-6.8419,-9.6616,-14.47,-11.337,-7.9347,-12.259,-10.527,-11.676,-7.2084,-11.576,-12.196,-11.603,-6.3687,-6.9259,-5.1563,-8.4434,-1.8283,-5.7793,-8.2049,-10.132
-8.3998,-10.129,-284.67,-208.41,-251.19,13.956,-10.602,-7.3091,-12.32,-10.78,-9.2334,-10.784,-6.1577,-9.8405,-13.554,-10.451,-7.604,-12.94,-9.4565,-11.328,-6.5052,-11.76,-12.196,-11.603,-6.3687,-7.4326,-5.4785,-7.9368,-1.3297,-5.6093,-8.0374,-10.132
-8.7229,-9.4648,-284.16,-208.41,-251.71,14.296,-9.8578,-6.7991,-11.784,-9.1629,-7.1816,-9.3458,-7.0129,-8.9459,-12.272,-10.628,-5.6204,-10.896,-10.527,-11.851,-6.1536,-11.576,-12.017,-11.059,-5.6802,-7.6015,-4.9951,-7.4302,-0.66483,-5.2693,-8.5397,-9.8
-9.6921,-10.627,-283.99,-208.41,-251.19,14.126,-10.416,-6.6291,-11.07,-9.3426,-7.5235,-9.7052,-5.6445,-8.2302,-13.554,-11.337,-7.2734,-10.386,-10.705,-10.979,-5.0986,-12.128,-12.017,-11.241,-5.1639,-7.0948,-5.6397,-7.9368,-0.66483,-5.6093,-8.5397,-10.132
-10.015,-12.122,-284.5,-208.58,-251.19,13.956,-10.23,-6.7991,-11.427,-8.8036,-8.3785,-8.9863,-5.4735,-8.9459,-12.089,-11.691,-7.2734,-10.726,-11.062,-10.805,-4.5712,-11.944,-12.555,-10.516,-4.8196,-8.4461,-6.2842,-7.9368,-1.4959,-5.9492,-8.2049,-9.9661
-7.5921,-11.125,-285.19,-208.75,-251.88,13.445,-10.23,-7.1391,-11.248,-8.4442,-6.6686,-10.065,-8.0392,-8.9459,-11.539,-13.108,-8.1,-10.896,-11.598,-11.851,-5.0986,-12.863,-12.017,-10.697,-5.1639,-9.1219,-7.4121,-8.95,-2.3269,-6.6291,-8.5397,-9.8
