745.69,757.69,763.69,775.69,805.69,810.19,815.19,827.69,839.69,848.69
866.69,880.69,885.69,898.69,1041.7,1046.2,1051.2,1063.7,1073.7,1082.7
1101.7,1114.7,1119.7,1132.7,1160.7,1164.2,1169.2,1182.7,1192.7,1201.7
1220.7,1232.7,1237.7,1250.7,1279.7,1283.2,1288.2,1301.7,1310.7,1319.7
1339.7,1351.7,1356.7,1369.7,1397.7,1401.2,1406.2,1419.7,1429.7,1438.7
1458.7,1469.7,1475.7,1488.7,1516.7,1520.2,1525.2,1537.7,1548.7,1557.7
1576.7,1588.7,1593.7,1606.7,1635.7,1639.2,1644.2,1656.7,1667.7,1676.7
1812.7,1824.7,1830.7,1843.7,1871.7,1875.2,1880.2,1893.7,1903.7,1912.7
1931.7,1943.7,1948.7,1961.7,1990.7,1994.2,1999.2,2011.7,2022.7,2031.7
2050.7,2061.7,2067.7,2080.7,2109.7,2113.2,2118.2,2130.7,2141.7,2149.7
2168.7,2180.7,2186.7,2199.7,2227.7,2231.2,2236.2,2249.7,2259.7,2268.7
2287.7,2299.7,2304.7,2317.7,2346.7,2350.2,2355.2,2368.7,2377.7,2387.7
2406.7,2418.7,2423.7,2436.7,2465.7,2469.2,2474.2,2486.7,2496.7,2505.7
