-12.693,-17.483,-15.958,-16.388,-8.0455,-15.06,-16.419,-12.095,-20.58,-13.866,-12,-20.19,-8.6082,-14.705,-20.379,1.775,-8.9741,-15.863,-15.916,-19.207,-7.242,-17.504,-17.425,-16.361,-14.88,-11.85,-11.655,-14.272,-13.218,-13.169,-13.605,-14.51,-13.532
-12.693,-17.65,-15.958,-16.561,-8.3953,-14.889,-16.419,-12.265,-20.401,-14.226,-11.657,-20.19,-8.6082,-14.526,-20.196,1.9525,-8.8079,-16.034,-16.453,-19.032,-7.4186,-17.688,-17.425,-15.997,-14.534,-12.019,-11.978,-13.932,-13.051,-13.511,-13.605,-14.676,-13.224
-12.531,-17.483,-15.615,-16.216,-7.8705,-14.718,-16.232,-12.095,-20.401,-13.686,-11.485,-19.469,-8.2639,-14.526,-20.012,2.3075,-8.4756,-15.522,-16.095,-18.857,-7.0654,-16.951,-17.246,-15.997,-14.534,-11.85,-11.816,-14.102,-12.883,-13.169,-13.438,-14.343,-13.224
-12.693,-17.983,-15.958,-16.561,-8.2204,-14.889,-16.232,-12.095,-20.401,-14.046,-11.657,-20.01,-8.0917,-14.346,-20.746,2.13,-8.4756,-15.863,-16.095,-18.857,-7.4186,-17.688,-17.425,-15.816,-14.707,-12.019,-11.978,-14.272,-13.051,-13.169,-13.438,-14.51,-13.84
-13.019,-17.983,-15.958,-16.561,-8.7451,-15.231,-16.979,-12.435,-20.759,-14.046,-12.342,-20.37,-8.4361,-14.884,-20.563,1.5975,-9.1403,-16.546,-16.81,-19.207,-7.5953,-17.504,-17.605,-16.361,-15.226,-12.189,-11.816,-14.102,-13.051,-13.34,-13.773,-14.51,-13.532
-12.531,-17.483,-15.958,-16.561,-8.5702,-15.06,-16.792,-12.776,-20.58,-14.046,-12,-20.01,-8.2639,-14.884,-20.563,1.9525,-8.8079,-16.034,-16.274,-19.381,-7.5953,-17.872,-17.784,-16.543,-15.226,-12.019,-12.302,-14.272,-13.051,-13.511,-13.773,-14.843,-13.84
-12.856,-17.816,-16.13,-16.561,-9.0949,-15.402,-16.979,-12.776,-20.938,-14.406,-12.171,-20.551,-8.6082,-14.884,-20.746,1.5975,-8.9741,-16.546,-16.453,-19.381,-7.7719,-18.241,-18.144,-16.906,-15.919,-12.358,-12.464,-14.442,-13.218,-13.511,-13.773,-15.177,-13.84
-12.856,-17.816,-15.787,-16.388,-8.3953,-15.06,-16.605,-12.435,-20.759,-14.046,-12,-20.37,-8.6082,-14.526,-20.746,1.775,-9.1403,-16.205,-16.453,-19.381,-7.4186,-17.688,-17.784,-16.725,-15.226,-12.358,-12.302,-14.611,-13.385,-13.511,-13.605,-15.01,-13.532
-13.344,-18.149,-16.13,-17.078,-8.7451,-15.402,-17.165,-12.776,-21.296,-14.586,-12.514,-20.731,-8.9526,-15.064,-20.746,1.42,-9.1403,-16.716,-16.989,-19.73,-7.9485,-18.241,-18.144,-16.906,-15.399,-12.697,-12.464,-14.781,-13.385,-13.511,-14.109,-15.343,-13.84
-12.856,-17.317,-15.443,-16.561,-7.8705,-14.718,-16.232,-12.095,-20.401,-13.866,-11.485,-20.19,-8.0917,-14.346,-20.196,2.13,-8.6418,-15.693,-16.274,-18.857,-7.5953,-17.688,-17.425,-16.179,-15.053,-12.019,-11.816,-14.442,-13.051,-13.34,-13.773,-14.676,-12.917
-12.856,-17.65,-15.958,-16.388,-8.3953,-15.402,-16.792,-12.435,-20.759,-14.226,-12,-20.19,-8.4361,-14.705,-20.563,1.9525,-8.6418,-16.034,-16.095,-18.857,-7.242,-17.688,-17.425,-16.179,-15.053,-12.189,-12.14,-14.272,-12.883,-13.34,-13.605,-14.676,-13.224
